Spring Mobile - AT&T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comp,1/31/2016,,8/27/2017,,,,NA
Store #,Store Name,Address,City,State,Zip,Market,Region,District,State,Open Date,Market VP,Region Director,District Manager,,Classification,Acquisition Name,Store Tier, Sq Ft , Sq Ft Range ,Closed Date,Status,Attribute,Base?,Comp?,Same?,,,1396,,,,Same,8/28/2016,,,,,,Base
1651,Springfield PA,148 Baltimore Pike,Springfield,PA,19064,Northeast Market,Liberty States Region,Philly West,Pennsylvania,7/22/2015,Kirby Loeck,Ryan Flack,Rob Kanowicz,,WS,Radio Shack Flip,5,"3,000", 2500-3000 ,,Open,WS - Radio Shack Flip,,x,x,5,,,,,,,,,,,,,
1652,Audubon,607 S Trooper Rd #12,Audubon,PA,19403,Northeast Market,Liberty States Region,Philly North,Pennsylvania,7/1/2015,Kirby Loeck,Ryan Flack,Ozair Panah,,WS,Radio Shack Flip,4,"2,400", 2000-2500 ,,Open,WS - Radio Shack Flip,,x,x,5,,,,,,,,,,,,,
1653,South Mall,3300 Lehigh St. #502,Allentown,PA,18103,Northeast Market,Liberty States Region,Philly North,Pennsylvania,8/21/2015,Kirby Loeck,Ryan Flack,Ozair Panah,,WS,Radio Shack Flip,4,"2,154", 2000-2500 ,,Open,WS - Radio Shack Flip,,x,x,5,,,,,,,,,,,,,
1654,Cranberry,1 Kimbery Dr RR1 Box 753,Cranberry,PA,16319,Northeast Market,Liberty States Region,Western PA,Pennsylvania,8/12/2015,Kirby Loeck,Ryan Flack,Brian Fitzpatrick,,WS,Radio Shack Flip,4,"2,500", 2000-2500 ,,Open,WS - Radio Shack Flip,,x,x,5,,,,,,,,,,,,,
1655,Philadelphia Grant,2550 Grant Ave,Philadelphia,PA,19114,Northeast Market,Liberty States Region,Philly North,Pennsylvania,7/1/2015,Kirby Loeck,Ryan Flack,Ozair Panah,,WS,Radio Shack Flip,1,"2,000", 1500-2000 ,,Open,WS - Radio Shack Flip,,x,x,2,,,,,,,,,,,,,
1658,Jackson Heights,75-25 31st Ave,East Elmhurst,NY,11370,,,,New York,8/12/2015,,,,,WS,GME Flip,,,,4/15/2017,Closed,WS - GME Flip,,,,5,,,,,,,,,,,,,
1659,Millcreek Mall,740 Millcreek Mall,Erie,PA,16565,Northeast Market,Liberty States Region,Western PA,Pennsylvania,11/25/2015,Kirby Loeck,Ryan Flack,Brian Fitzpatrick,,WS,FY2015,3,"1,500", 1000-1500 ,,Open,WS - FY2015,,x,x,3,,,,,,,,,,,,,
1660,Brooklawn,703 Browning Lane,Brooklawn,NJ,8030,Northeast Market,Liberty States Region,Philly,New Jersey,8/3/2016,Kirby Loeck,Ryan Flack,Javier Janeiro,,WS,FY2016,4,"1,700", 1500-2000 ,,Open,WS - FY2016,,,x,4,,,,,,,,,,,,,
1661,Morgantown,"51 Donahue Dr, Ste 113",Morgantown,WV,26505,Northeast Market,Liberty States Region,Western PA,West Virginia,7/12/2017,Kirby Loeck,Ryan Flack,Brian Fitzpatrick,,WS,FY2017,4,"1,800",1500-2000,,Open,WS - FY2017,,,,,,,,,,,,,,,,,
1695,Johnstown,3225 Elton Road,Johnstown,PA,15904,Northeast Market,Liberty States Region,Western PA,Pennsylvania,10/28/2015,Kirby Loeck,Ryan Flack,Brian Fitzpatrick,,WS,FY2015,3,"2,154", 2000-2500 ,,Open,WS - FY2015,,x,x,3,,,,,,,,,,,,,
1696,Gibsonia,"550 Granview Crossing, Suite 10",Gibsonia,PA,15044,Northeast Market,Liberty States Region,Western PA,Pennsylvania,11/25/2015,Kirby Loeck,Ryan Flack,Brian Fitzpatrick,,WS,FY2015,5,"1,623", 1500-2000 ,,Open,WS - FY2015,,x,x,5,,,,,,,,,,,,,
1698,Westport,180 Post Road East,Westport,CT,6880,Northeast Market,New England Region,Connecticut West,Connecticut,12/9/2015,Kirby Loeck,Josh Mailloux,Kevin Elmes,,WS,FY2015,3,"1,800", 1500-2000 ,,Open,WS - FY2015,,x,x,3,,,,,,,,,,,,,
1700,Baldwin Place,"80 R. 6, Sp.701",Baldwin Place,NY,10505,Northeast Market,NYNJ Region,Upstate New York,New York,11/6/2015,Kirby Loeck,Joe Kjose,Jeanie Jones,,WS,Radio Shack Flip,5,"2,565", 2500-3000 ,,Open,WS - Radio Shack Flip,,x,x,5,,,,,,,,,,,,,
1701,Lebanon,"1451 Quentin Rd, Ste 200",Lebanon,PA,17042,Northeast Market,Liberty States Region,Harly,Pennsylvania,3/23/2017,Kirby Loeck,Ryan Flack,Gary Taylor,,WS,FY2017,4,"1,875",1500-2000,,Open,WS - FY2017,,,,4,,,,,,,,,,,,,
1703,Porter Square,15 White Street,Cambridge,MA,2140,Northeast Market,New England Region,Boston,Massachusetts,11/25/2015,Kirby Loeck,Josh Mailloux,Wendy Musselwhite,,WS,FY2015,3,"2,045", 2000-2500 ,,Open,WS - FY2015,,x,x,3,,,,,,,,,,,,,
1704,Charles River,"175 Cambridge Street, Ste 160",Boston,MA,2114,Northeast Market,New England Region,Boston,Massachusetts,4/27/2016,Kirby Loeck,Josh Mailloux,Wendy Musselwhite,,WS,FY2016,4,850, 500-1000 ,,Open,WS - FY2016,,,x,4,,,,,,,,,,,,,
1705,Colchester,95 Linwood Ave,Colchester,CT,6415,Northeast Market,New England Region,Connecticut East,Connecticut,2/17/2016,Kirby Loeck,Josh Mailloux,Brett Fowler,,WS,FY2016,1,"1,600", 1500-2000 ,,Open,WS - FY2016,,,x,2,,,,,,,,,,,,,
1706,Court St,115 Court Street,Brooklyn,NY,11201,Northeast Market,NYNJ Region,New York,New York,11/18/2015,Kirby Loeck,Joe Kjose,Anastassia Ramelize,,WS,FY2015,4,"1,200", 1000-1500 ,,Open,WS - FY2015,,x,x,4,,,,,,,,,,,,,
1707,Wyoming PA,"1004 Wyoming Ave, Ste 22",Wyoming,PA,18644,Northeast Market,Liberty States Region,Harly,Pennsylvania,7/13/2016,Kirby Loeck,Ryan Flack,Gary Taylor,,WS,FY2016,5,"3,000", 2500-3000 ,,Open,WS - FY2016,,,x,5,,,,,,,,,,,,,
1708,Union Deposit,"4002 Union Deposit Rd, Ste 100",Harrisburg,PA,17109,Northeast Market,Liberty States Region,Harly,Pennsylvania,2/1/2017,Kirby Loeck,Ryan Flack,Gary Taylor,,WS,FY2017,4,"1,800",1500-2000,,Open,WS - FY2017,,,,4,,,,,,,,,,,,,
1709,Somerset,1212 N Center Ave,Somset,PA,15501,Northeast Market,Liberty States Region,Western PA,Pennsylvania,5/25/2016,Kirby Loeck,Ryan Flack,Brian Fitzpatrick,,WS,FY2016,2,"3,124", Above 3000 ,,Open,WS - FY2016,,,x,2,,,,,,,,,,,,,
1710,Dunmore,301 S Blakely Street,Dunmore,PA,18512,Northeast Market,Liberty States Region,Harly,Pennsylvania,6/8/2016,Kirby Loeck,Ryan Flack,Gary Taylor,,WS,FY2016,4,"1,760", 1500-2000 ,,Open,WS - FY2016,,,x,4,,,,,,,,,,,,,
1711,Colonial Park Mall,4600 Jonestown Rd,Harrisburg,PA,17109,Northeast Market,Liberty States Region,Harly,Pennsylvania,11/1/2016,Kirby Loeck,Ryan Flack,Gary Taylor,,WS,COR Takeover,3,"2,692", 2500-3000 ,,Open,WS - COR Takeover,,,,2,,,,,,,,,,,,,
1750,Fairfax,"13005 Lee Jackson Highway, Ste O",Fairfax,VA,22033,Northeast Market,Atlantic Region,Arlington,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Derek Remo,,Acquisition,Wireless Jungle,4,"2,250", 2000-2500 ,,Open,Acquisition - Wireless Jungle,,x,x,4,,,,,,,,,,,,,
1751,Herndon,342 Elden St,Herndon,VA,20170,Northeast Market,Atlantic Region,Arlington,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Derek Remo,,Acquisition,Wireless Jungle,3,"1,275", 1000-1500 ,,Open,Acquisition - Wireless Jungle,,x,x,3,,,,,,,,,,,,,
1752,Dulles,"2465 Centreville Road, Ste J13",Herndon,VA,20171,Northeast Market,Atlantic Region,Arlington,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Derek Remo,,Acquisition,Wireless Jungle,3,"1,492", 1000-1500 ,,Open,Acquisition - Wireless Jungle,,x,x,3,,,,,,,,,,,,,
1753,South Riding,"25050 Riding Plaza, Ste 150",South Riding,VA,20152,Northeast Market,Atlantic Region,Arlington,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Derek Remo,,Acquisition,Wireless Jungle,3,"1,185", 1000-1500 ,,Open,Acquisition - Wireless Jungle,,x,x,4,,,,,,,,,,,,,
1755,Front Royal,"50 Riverton Commons Plaza, Ste 10C",Front Royal,VA,22630,Northeast Market,Atlantic Region,Manassas,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Rob Tennyson,,Acquisition,Wireless Jungle,3,"1,600", 1500-2000 ,,Open,Acquisition - Wireless Jungle,,x,x,3,,,,,,,,,,,,,
1756,Bull Run,"7803B Sudley Road, Ste 103",Manassas,VA,20109,Northeast Market,Atlantic Region,Manassas,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Rob Tennyson,,Acquisition,Wireless Jungle,1,"2,854", 2500-3000 ,,Open,Acquisition - Wireless Jungle,,x,x,1,,,,,,,,,,,,,
1757,Warrenton,181 West Lee Hwy,Warrenton,VA,20186,Northeast Market,Atlantic Region,Manassas,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Rob Tennyson,,Acquisition,Wireless Jungle,1,"2,217", 2000-2500 ,,Open,Acquisition - Wireless Jungle,,x,x,1,,,,,,,,,,,,,
1758,Atlas Walk,7363 Atlas Walk Way,Gainesville,VA,20155,Northeast Market,Atlantic Region,Manassas,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Rob Tennyson,,Acquisition,Wireless Jungle,2,"1,752", 1500-2000 ,,Open,Acquisition - Wireless Jungle,,x,x,2,,,,,,,,,,,,,
1759,Liberia Ave,9526 Liberia Ave,Manassas,VA,20110,Northeast Market,Atlantic Region,Manassas,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Rob Tennyson,,Acquisition,Wireless Jungle,2,"1,600", 1500-2000 ,,Open,Acquisition - Wireless Jungle,,x,x,2,,,,,,,,,,,,,
1760,Stonewall Shops,7905 Stonewall Shops Square,Gainesville,VA,20155,Northeast Market,Atlantic Region,Manassas,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Rob Tennyson,,Acquisition,Wireless Jungle,4,"3,031", Above 3000 ,,Open,Acquisition - Wireless Jungle,,x,x,4,,,,,,,,,,,,,
1761,Iverson Mall,3801 E Branch Ave,Temple Hills,MD,20748,Northeast Market,Atlantic Region,DC/MD,Maryland,11/1/2015,Kirby Loeck,Joey Halley,Kenny Binder,,Acquisition,Wireless Jungle,3,"1,600", 1500-2000 ,,Open,Acquisition - Wireless Jungle,,x,x,4,,,,,,,,,,,,,
1762,Forestville Mall,3393 Donnell Drive,Forestville,MD,20747,Northeast Market,Atlantic Region,DC/MD,Maryland,11/1/2015,Kirby Loeck,Joey Halley,Kenny Binder,,Acquisition,Wireless Jungle,3,"1,349", 1000-1500 ,,Open,Acquisition - Wireless Jungle,,x,x,3,,,,,,,,,,,,,
1763,St Charles Mall,11110 Mall Circle,Waldorf,MD,20603,Northeast Market,Atlantic Region,DC/MD,Maryland,11/1/2015,Kirby Loeck,Joey Halley,Kenny Binder,,Acquisition,Wireless Jungle,5,667, 500-1000 ,,Open,Acquisition - Wireless Jungle,,x,x,5,,,,,,,,,,,,,
1764,Burke Center,"5765 Burke Centre Pkwy, Ste X",Burke,VA,22015,Northeast Market,Atlantic Region,Arlington,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Derek Remo,,Acquisition,Wireless Jungle,3,950, 500-1000 ,,Open,Acquisition - Wireless Jungle,,x,x,3,,,,,,,,,,,,,
1765,Bealeton,11083 Marsh Road,Bealeton,VA,22712,Northeast Market,Atlantic Region,Manassas,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Rob Tennyson,,Acquisition,Wireless Jungle,5,"1,103", 1000-1500 ,,Open,Acquisition - Wireless Jungle,,x,x,5,,,,,,,,,,,,,
1766,Bristow,10290 Bristow Center Drive,Bristow,VA,20136,Northeast Market,Atlantic Region,Manassas,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Rob Tennyson,,Acquisition,Wireless Jungle,5,"1,362", 1000-1500 ,,Open,Acquisition - Wireless Jungle,,x,x,5,,,,,,,,,,,,,
1767,Lake Ridge,12423 Hedges Run Drive,Lake Ridge,VA,22192,Northeast Market,Atlantic Region,Arlington,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Derek Remo,,Acquisition,Wireless Jungle,5,"1,040", 1000-1500 ,,Open,Acquisition - Wireless Jungle,,x,x,5,,,,,,,,,,,,,
1769,Kingstowne,"5890 Kingstowne Center, Ste 120",Alexandria,VA,22315,Northeast Market,Atlantic Region,Arlington,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Derek Remo,,Acquisition,Wireless Jungle,4,"2,440", 2000-2500 ,,Open,Acquisition - Wireless Jungle,,x,x,4,,,,,,,,,,,,,
1770,Falls Church,8110-B Arlington Blvd,Falls Church,VA,22042,Northeast Market,Atlantic Region,Arlington,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Derek Remo,,Acquisition,Wireless Jungle,4,"1,398", 1000-1500 ,,Open,Acquisition - Wireless Jungle,,x,x,4,,,,,,,,,,,,,
1771,Vienna,211 East Maple Ave,Vienna,VA,22180,Northeast Market,Atlantic Region,Arlington,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Derek Remo,,Acquisition,Wireless Jungle,3,"1,361", 1000-1500 ,,Open,Acquisition - Wireless Jungle,,x,x,3,,,,,,,,,,,,,
1772,Bethesda,4941 Elm Street,Bethesda,MD,20814,Northeast Market,Atlantic Region,DC/MD,Maryland,11/1/2015,Kirby Loeck,Joey Halley,Kenny Binder,,Acquisition,Wireless Jungle,1,852, 500-1000 ,,Open,Acquisition - Wireless Jungle,,x,x,2,,,,,,,,,,,,,
1773,Carytown,3148 W Cary St,Richmond,VA,23221,Northeast Market,Atlantic Region,Richmond,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Brett Kimball,,Acquisition,Wireless Jungle,5,"1,881", 1500-2000 ,,Open,Acquisition - Wireless Jungle,,x,x,5,,,,,,,,,,,,,
1774,Stonebridge,129 Stonebridge Plaza Ave,North Chesterfield,VA,23225,Northeast Market,Atlantic Region,Richmond,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Brett Kimball,,Acquisition,Wireless Jungle,4,"1,264", 1000-1500 ,,Open,Acquisition - Wireless Jungle,,x,x,4,,,,,,,,,,,,,
1775,Mechanicsville,9280 Chamberlayne Rd. Ste 200,Mechanicsville,VA,23111,Northeast Market,Atlantic Region,Richmond,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Brett Kimball,,Acquisition,Wireless Jungle,5,"1,300", 1000-1500 ,,Open,Acquisition - Wireless Jungle,,x,x,5,,,,,,,,,,,,,
1776,Regency,"1543 N Parham Rd, Ste E",Richmond,VA,23229,Northeast Market,Atlantic Region,Richmond,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Brett Kimball,,Acquisition,Wireless Jungle,5,"2,400", 2000-2500 ,,Open,Acquisition - Wireless Jungle,,x,x,5,,,,,,,,,,,,,
1777,Farmville,1808 Peery Dr,Farmville,VA,23901,Northeast Market,Atlantic Region,Richmond,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Brett Kimball,,Acquisition,Wireless Jungle,5,"3,000", 2500-3000 ,,Open,Acquisition - Wireless Jungle,,x,x,5,,,,,,,,,,,,,
1778,South Hill,200 Shaw Street,South Hill,VA,23970,Northeast Market,Atlantic Region,Richmond,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Brett Kimball,,Acquisition,Wireless Jungle,3,"2,400", 2000-2500 ,,Open,Acquisition - Wireless Jungle,,x,x,3,,,,,,,,,,,,,
1779,Waynesboro,"760 Town Center Drive, Ste F",Waynesboro,VA,22980,Northeast Market,Atlantic Region,Richmond,Virginia,11/1/2015,Kirby Loeck,Joey Halley,Brett Kimball,,Acquisition,Wireless Jungle,4,"2,040", 2000-2500 ,,Open,Acquisition - Wireless Jungle,,x,x,4,,,,,,,,,,,,,
1780,Clinton MD,8837 Branch Ave,Clinton,MD,20735,Northeast Market,Atlantic Region,DC/MD,Maryland,12/3/2015,Kirby Loeck,Joey Halley,Kenny Binder,,WS,FY2015,3,"2,000", 1500-2000 ,,Open,WS - FY2015,,x,x,4,,,,,,,,,,,,,
1781,Charlottesville,"100 Shoppers World Ct, Ste 160",Charlottesville,VA,22901,Northeast Market,Atlantic Region,Richmond,Virginia,11/18/2015,Kirby Loeck,Joey Halley,Brett Kimball,,WS,FY2015,5,"2,100", 2000-2500 ,,Open,WS - FY2015,,x,x,5,,,,,,,,,,,,,
1782,Fredericksburg,28 South Gateway Drive,Fredericksburg,VA,22406,Northeast Market,Atlantic Region,Manassas,Virginia,11/25/2015,Kirby Loeck,Joey Halley,Rob Tennyson,,WS,FY2015,4,"1,760", 1500-2000 ,,Open,WS - FY2015,,x,x,4,,,,,,,,,,,,,
1801,Hialeah Gardens,7725 W 33rd Ave,Hialeah,FL,33018,South Market,Florida Region,Miami,Florida,5/4/2016,Brady Bowen,Scott Groskreutz,Joseph Deprizio,,WS,GME Flip,4,"1,500", 1000-1500 ,,Open,WS - GME Flip,,,x,4,,,,,,,,,,,,,
