Spring Mobile - AT&T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comp,1/31/2016,,8/27/2017,,,,NA
Store #,Store Name,Address,City,State,Zip,Market,Region,District,State,Open Date,Market VP,Region Director,District Manager,,Classification,Acquisition Name,Store Tier, Sq Ft , Sq Ft Range ,Closed Date,Status,Attribute,Base?,Comp?,Same?,,,1396,,,,Same,8/28/2016,,,,,,Base
1803,Jacksonville 103rd,6147 103rd Street,Jacksonville,FL,32210,South Market,Florida Region,Jacksonville,Florida,12/4/2015,Brady Bowen,Scott Groskreutz,Mario Purifoy,,WS,Radio Shack Flip,4,"2,800", 2500-3000 ,,Open,WS - Radio Shack Flip,,x,x,4,,,,,,,,,,,,,
1808,Tampa Gunn,6110 Gunn Hwy,Tampa,FL,33625,,,,Florida,11/11/2015,,,,,WS,GME Flip,,,,1/28/2017,FY16 Closure,WS - GME Flip,,,,,,,,,,,,,,,,,
1812,Decatur Beltline,"1605 Beltline Rd. SW, Suite D4",Decatur,AL,35601,South Market,Florida Gulf Region,MS/AL,Alabama,11/25/2015,Brady Bowen,Mitch Nelson,Open,,WS,GME Flip,5,"1,700", 1500-2000 ,,Open,WS - GME Flip,,x,x,5,,,,,,,,,,,,,
1813,Millbrook,91 Kelley Blvd.,Millbrook,AL,36054,,,,Alabama,10/30/2015,,,,,WS,GME Flip,,,,1/28/2017,FY16 Closure,WS - GME Flip,,,,,,,,,,,,,,,,,
1814,Meridian,2514 67th Ave Loop Suite 124,Meridian,MS,39307,South Market,Florida Gulf Region,Jackson,Mississippi,9/16/2015,Brady Bowen,Mitch Nelson,Stacey Lewis,,WS,GME Flip,5,"1,750", 1500-2000 ,,Open,WS - GME Flip,,x,x,5,,,,,,,,,,,,,
1816,Decatur Suburban,1524 D-E Church Street,Decatur,GA,30030,South Market,GA/SC Region,Atlanta,Georgia,5/18/2016,Brady Bowen,Steffanie Sadler,William Dunford,,WS,FY2016,4,"2,047", 2000-2500 ,,Open,WS - FY2016,,,x,4,,,,,,,,,,,,,
1817,Loganville,4729 US - 78,Loganville,GA,30052,South Market,GA/SC Region,Southeast Atlanta,Georgia,12/7/2016,Brady Bowen,Steffanie Sadler,Troy Mengel,,WS,FY2016,3,"2,520", 2500-3000 ,,Open,WS - FY2016,,,,2,,,,,,,,,,,,,
1818,Piper Glen,"7856 Rea Rd, Ste B",Charlotte,NC,28277,Northeast Market,Atlantic Region,Charlotte,North Carolina,1/13/2016,Kirby Loeck,Joey Halley,Shannon Esh,,WS,Radio Shack Flip,4,"2,203", 2000-2500 ,,Open,WS - Radio Shack Flip,,x,x,5,,,,,,,,,,,,,
1819,Roswell Crossing,"612 Holcomb Bridge Rd., Suite A",Roswell,GA,30076,South Market,GA/SC Region,Northwest Atlanta,Georgia,12/15/2015,Brady Bowen,Steffanie Sadler,Sean Coe,,WS,Radio Shack Flip,4,"3,000", 2500-3000 ,,Open,WS - Radio Shack Flip,,x,x,5,,,,,,,,,,,,,
1820,Normandy,"7077 Normandy Blvd, Ste 1",Jacksonville,FL,32205,South Market,Florida Region,Jacksonville,Florida,12/31/2015,Brady Bowen,Scott Groskreutz,Mario Purifoy,,WS,Radio Shack Flip,3,"2,800", 2500-3000 ,,Open,WS - Radio Shack Flip,,x,x,3,,,,,,,,,,,,,
