Dealer Code,Loc #,Location,Retail IQ,District,ATT Mkt Abbrev,ATT Market Name,Region,Market,Dispute Mkt,DF,C&C,WS,WS Expires,Footprint Level,Business Expert,DF Code,Old,Old 2,ATT Location Name,ATT Location ID,ATT Region,State,Notes,Notes2,Open Date,Close Date,DC Origin,Store Origin,Acquisition Origin,TB Loc,SMF Mapping,SMF Market,DC status,Sorting Rank,Rank Description,Company
JZ6SX,,Cellular World Lakeland Mall DF,Old Cellular World,Cellular World,FLP,FLORIDA,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,FL,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2488,2488,Florida/Puerto Rico,Closed,6,Recent Closed Direct Fulfill,Spring
FRFIE,,Cellular World Lakeland South DF,Old Cellular World,Cellular World,FLP,FLORIDA,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,FL,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2274,2274,Florida/Puerto Rico,Closed,6,Recent Closed Direct Fulfill,Spring
6FBQY,,Cellular World Lakewood Place DF,Old Cellular World,Cellular World,PNW,PACIFIC NW; AK; HI,Acquired,Acquired,West Texas,,No,,,,,,,,,,WEST,WA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2470,2470,Northwest States,Closed,6,Recent Closed Direct Fulfill,Spring
MFUOJ,,Cellular World Lampasas DF,Old Cellular World,Cellular World,NTX,NORTH TEXAS,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,TX,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2416,2416,Dallas,Closed,6,Recent Closed Direct Fulfill,Spring
PA8U3,,Cellular World Laurens DF,Old Cellular World,Cellular World,GAC,GEORGIA; SOUTH CAROLINA,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,SC,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2582,2582,Georgia/Carolinas,Closed,6,Recent Closed Direct Fulfill,Spring
GX409,,Cellular World Laurie DF,Old Cellular World,Cellular World,GMW,GREATER MIDWEST,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,MO,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2326,2326,Greater Midwest,Closed,6,Recent Closed Direct Fulfill,Spring
C6KFW,,Cellular World Lawrenceburg DF,Old Cellular World,Cellular World,TNK,TENNESSEE; KENTUCKY,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,TN,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2379,2379,Tennessee/Kentucky,Closed,6,Recent Closed Direct Fulfill,Spring
BI57Y,,Cellular World Lawton DF,Old Cellular World,Cellular World,AOK,ARKANSAS; OKLAHOMA,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,OK,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2555,2555,ARKANSAS/OKLAHOMA,Closed,6,Recent Closed Direct Fulfill,Spring
HWBPK,,Cellular World Lawton RSW DF,Old Cellular World,Cellular World,AOK,ARKANSAS; OKLAHOMA,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,OK,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2555,2555,ARKANSAS/OKLAHOMA,Closed,6,Recent Closed Direct Fulfill,Spring
8RNI5,,Cellular World Lebanon MO DF,Old Cellular World,Cellular World,GMW,GREATER MIDWEST,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,MO,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2327,2327,Greater Midwest,Closed,6,Recent Closed Direct Fulfill,Spring
C4QP9,,Cellular World Leesburg DF,Old Cellular World,Cellular World,FLP,FLORIDA,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,FL,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2275,2275,Florida/Puerto Rico,Closed,6,Recent Closed Direct Fulfill,Spring
APFLT,,Cellular World Lehigh Acres DF,Old Cellular World,Cellular World,FLP,FLORIDA,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,FL,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2276,2276,Florida/Puerto Rico,Closed,6,Recent Closed Direct Fulfill,Spring
MEZI2,,Cellular World Lenoir City DF,Old Cellular World,Cellular World,TNK,TENNESSEE; KENTUCKY,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,TN,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2511,2511,Tennessee/Kentucky,Closed,6,Recent Closed Direct Fulfill,Spring
5NE0A,,Cellular World Lenoir DF,Old Cellular World,Cellular World,MID,MID-ATLANTIC,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,NC,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2545,2545,Mid-Atlantic,Closed,6,Recent Closed Direct Fulfill,Spring
UFC0Y,,Cellular World Letton Drive DF,Old Cellular World,Cellular World,TNK,TENNESSEE; KENTUCKY,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,KY,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2294,2294,Tennessee/Kentucky,Closed,6,Recent Closed Direct Fulfill,Spring
VJ5SQ,,Cellular World Lewisburg DF,Old Cellular World,Cellular World,TNK,TENNESSEE; KENTUCKY,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,TN,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2512,2512,Tennessee/Kentucky,Closed,6,Recent Closed Direct Fulfill,Spring
FJTOG,,Cellular World Lewiston DF,Old Cellular World,Cellular World,PNW,PACIFIC NW; AK; HI,Acquired,Acquired,West Texas,,No,,,,,,,,,,WEST,ID,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2492,2492,Northwest States,Closed,6,Recent Closed Direct Fulfill,Spring
VKAV2,,Cellular World Lexington TN DF,Old Cellular World,Cellular World,TNK,TENNESSEE; KENTUCKY,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,TN,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2380,2380,Tennessee/Kentucky,Closed,6,Recent Closed Direct Fulfill,Spring
LO5RT,,Cellular World Lincolnton DF,Old Cellular World,Cellular World,MID,MID-ATLANTIC,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,NC,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2546,2546,Mid-Atlantic,Closed,6,Recent Closed Direct Fulfill,Spring
054O6,,Cellular World Little Elm DF,Old Cellular World,Cellular World,NTX,NORTH TEXAS,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,TX,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2417,2417,Dallas,Closed,6,Recent Closed Direct Fulfill,Spring
X5SJM,,Cellular World Littleton DF,Old Cellular World,Cellular World,NEG,NEW ENGLAND,Acquired,Acquired,West Texas,,No,,,,,,,,,,NORTHEAST,MA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2303,2303,SNET,Closed,6,Recent Closed Direct Fulfill,Spring
K8M2K,,Cellular World Livingston DF,Old Cellular World,Cellular World,STX,SOUTH TEXAS,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,TX,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2459,2459,West Texas,Closed,6,Recent Closed Direct Fulfill,Spring
M0WR2,,Cellular World Lompoc DF,Old Cellular World,Cellular World,GLA,GREATER LOS ANGELES,Acquired,Acquired,West Texas,,No,,,,,,,,,,WEST,CA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2244,2244,Bakersfield,Closed,6,Recent Closed Direct Fulfill,Spring
RLRFH,,Cellular World London DF,Old Cellular World,Cellular World,TNK,TENNESSEE; KENTUCKY,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,KY,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2499,2499,Tennessee/Kentucky,Closed,6,Recent Closed Direct Fulfill,Spring
VG0PA,,Cellular World Louetta DF,Old Cellular World,Cellular World,STX,SOUTH TEXAS,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,TX,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2453,2453,West Texas,Closed,6,Recent Closed Direct Fulfill,Spring
KOFKY,,Cellular World Lovers Lane DF,Old Cellular World,Cellular World,NTX,NORTH TEXAS,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,TX,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2418,2418,Dallas,Closed,6,Recent Closed Direct Fulfill,Spring
YJ4EX,,Cellular World Lynwood DF,Old Cellular World,Cellular World,GLA,GREATER LOS ANGELES,Acquired,Acquired,West Texas,,No,,,,,,,,,,WEST,CA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2245,2245,Bakersfield,Closed,6,Recent Closed Direct Fulfill,Spring
BUARM,,Cellular World Madill RSW DF,Old Cellular World,Cellular World,AOK,ARKANSAS; OKLAHOMA,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,OK,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2556,2556,ARKANSAS/OKLAHOMA,Closed,6,Recent Closed Direct Fulfill,Spring
Z3KXU,,Cellular World Magee DF,Old Cellular World,Cellular World,GLF,GULF STATES,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,MS,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2341,2341,Gulf States,Closed,6,Recent Closed Direct Fulfill,Spring
9UIJ6,,Cellular World Mammoth Lakes DF,Old Cellular World,Cellular World,GLA,GREATER LOS ANGELES,Acquired,Acquired,West Texas,,No,,,,,,,,,,WEST,CA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2246,2246,Bakersfield,Closed,6,Recent Closed Direct Fulfill,Spring
LHR42,,Cellular World Manchester Square DF,Old Cellular World,Cellular World,TNK,TENNESSEE; KENTUCKY,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,KY,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2500,2500,Tennessee/Kentucky,Closed,6,Recent Closed Direct Fulfill,Spring
TAESD,,Cellular World Marco Island DF,Old Cellular World,Cellular World,FLP,FLORIDA,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,FL,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2277,2277,Florida/Puerto Rico,Closed,6,Recent Closed Direct Fulfill,Spring
H9JVA,,Cellular World Mauldin DF,Old Cellular World,Cellular World,GAC,GEORGIA; SOUTH CAROLINA,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,SC,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2584,2584,Georgia/Carolinas,Closed,6,Recent Closed Direct Fulfill,Spring
FZ5JH,,Cellular World Mayfield DF,Old Cellular World,Cellular World,TNK,TENNESSEE; KENTUCKY,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,KY,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2290,2290,Tennessee/Kentucky,Closed,6,Recent Closed Direct Fulfill,Spring
NEOY3,,Cellular World Miami DF,Old Cellular World,Cellular World,AOK,ARKANSAS; OKLAHOMA,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,OK,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2361,2361,ARKANSAS/OKLAHOMA,Closed,6,Recent Closed Direct Fulfill,Spring
Q866G,,Cellular World Middlesboro DF,Old Cellular World,Cellular World,TNK,TENNESSEE; KENTUCKY,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,KY,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2291,2291,Tennessee/Kentucky,Closed,6,Recent Closed Direct Fulfill,Spring
E60HK,,Cellular World Milford Main Street DF,Old Cellular World,Cellular World,NEG,NEW ENGLAND,Acquired,Acquired,West Texas,,No,,,,,,,,,,NORTHEAST,MA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2309,2309,SNET,Closed,6,Recent Closed Direct Fulfill,Spring
WMJJY,,Cellular World Mineral Wells DF,Old Cellular World,Cellular World,NTX,NORTH TEXAS,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,TX,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2421,2421,Dallas,Closed,6,Recent Closed Direct Fulfill,Spring
TG8GX,,Cellular World Mira Loma DF,Old Cellular World,Cellular World,GLA,GREATER LOS ANGELES,Acquired,Acquired,West Texas,,No,,,,,,,,,,WEST,CA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2247,2247,Bakersfield,Closed,6,Recent Closed Direct Fulfill,Spring
DDPAF,,Cellular World Mission Hills DF,Old Cellular World,Cellular World,GLA,GREATER LOS ANGELES,Acquired,Acquired,West Texas,,No,,,,,,,,,,WEST,CA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2248,2248,Bakersfield,Closed,6,Recent Closed Direct Fulfill,Spring
HN3HF,,Cellular World Mission Hills Drive DF,Old Cellular World,Cellular World,FLP,FLORIDA,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,FL,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2278,2278,Florida/Puerto Rico,Closed,6,Recent Closed Direct Fulfill,Spring
G5CCT,,Cellular World Mission Viejo DF,Old Cellular World,Cellular World,GLA,GREATER LOS ANGELES,Acquired,Acquired,West Texas,,No,,,,,,,,,,WEST,CA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2249,2249,Bakersfield,Closed,6,Recent Closed Direct Fulfill,Spring
L49WR,,Cellular World Monett DF,Old Cellular World,Cellular World,GMW,GREATER MIDWEST,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,MO,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2328,2328,Greater Midwest,Closed,6,Recent Closed Direct Fulfill,Spring
K7YRZ,,Cellular World Monroe WA DF,Old Cellular World,Cellular World,PNW,PACIFIC NW; AK; HI,Acquired,Acquired,West Texas,,No,,,,,,,,,,WEST,WA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2471,2471,Northwest States,Closed,6,Recent Closed Direct Fulfill,Spring
NKQ6P,,Cellular World Monticello Walmart Plaza DF,Old Cellular World,Cellular World,TNK,TENNESSEE; KENTUCKY,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,KY,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2501,2501,Tennessee/Kentucky,Closed,6,Recent Closed Direct Fulfill,Spring
9V3GG,,Cellular World Moreno Valley DF,Old Cellular World,Cellular World,GLA,GREATER LOS ANGELES,Acquired,Acquired,West Texas,,No,,,,,,,,,,WEST,CA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2250,2250,Bakersfield,Closed,6,Recent Closed Direct Fulfill,Spring
VZQ7T,,Cellular World Mount Airy Andy Griffith Pkwy DF,Old Cellular World,Cellular World,MID,MID-ATLANTIC,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,NC,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2347,2347,Mid-Atlantic,Closed,6,Recent Closed Direct Fulfill,Spring
Y3VAU,,Cellular World Mount Sterling DF,Old Cellular World,Cellular World,TNK,TENNESSEE; KENTUCKY,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,KY,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2292,2292,Tennessee/Kentucky,Closed,6,Recent Closed Direct Fulfill,Spring
3V7KV,,Cellular World Mt Home DF,Old Cellular World,Cellular World,AOK,ARKANSAS; OKLAHOMA,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,AR,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2218,2218,ARKANSAS/OKLAHOMA,Closed,6,Recent Closed Direct Fulfill,Spring
VKW94,,Cellular World Muskogee Arrowhead Mall DF,Old Cellular World,Cellular World,AOK,ARKANSAS; OKLAHOMA,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,OK,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2557,2557,ARKANSAS/OKLAHOMA,Closed,6,Recent Closed Direct Fulfill,Spring
YT64F,,Cellular World Muskogee Arrowhead Mall RSW DF,Old Cellular World,Cellular World,AOK,ARKANSAS; OKLAHOMA,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,OK,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2557,2557,ARKANSAS/OKLAHOMA,Closed,6,Recent Closed Direct Fulfill,Spring
K0ZLB,,Cellular World Mustang DF,Old Cellular World,Cellular World,AOK,ARKANSAS; OKLAHOMA,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,OK,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2558,2558,ARKANSAS/OKLAHOMA,Closed,6,Recent Closed Direct Fulfill,Spring
47MY0,,Cellular World Mustang RSW DF,Old Cellular World,Cellular World,AOK,ARKANSAS; OKLAHOMA,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,OK,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2558,2558,ARKANSAS/OKLAHOMA,Closed,6,Recent Closed Direct Fulfill,Spring
HDRLT,,Cellular World Myrtle Beach DF,Old Cellular World,Cellular World,GAC,GEORGIA; SOUTH CAROLINA,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,SC,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2586,2586,Georgia/Carolinas,Closed,6,Recent Closed Direct Fulfill,Spring
RLFYI,,Cellular World Nashua DF,Old Cellular World,Cellular World,NEG,NEW ENGLAND,Acquired,Acquired,West Texas,,No,,,,,,,,,,NORTHEAST,NH,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2352,2352,SNET,Closed,6,Recent Closed Direct Fulfill,Spring
YXXXG,,Cellular World Nashville DF,Old Cellular World,Cellular World,TNK,TENNESSEE; KENTUCKY,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,TN,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2381,2381,Tennessee/Kentucky,Closed,6,Recent Closed Direct Fulfill,Spring
UMRT8,,Cellular World Neosho DF,Old Cellular World,Cellular World,GMW,GREATER MIDWEST,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,MO,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2329,2329,Greater Midwest,Closed,6,Recent Closed Direct Fulfill,Spring
5GPY3,,Cellular World Nevada DF,Old Cellular World,Cellular World,GMW,GREATER MIDWEST,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,MO,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2330,2330,Greater Midwest,Closed,6,Recent Closed Direct Fulfill,Spring
ADMK4,,Cellular World New Braunfels DF,Old Cellular World,Cellular World,STX,SOUTH TEXAS,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,TX,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2445,2445,West Texas,Closed,6,Recent Closed Direct Fulfill,Spring
UY3RE,,Cellular World New Orleans DF,Old Cellular World,Cellular World,GLF,GULF STATES,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,LA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2298,2298,Gulf States,Closed,6,Recent Closed Direct Fulfill,Spring
N3F4P,,Cellular World Newberry DF,Old Cellular World,Cellular World,GAC,GEORGIA; SOUTH CAROLINA,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,SC,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2587,2587,Georgia/Carolinas,Closed,6,Recent Closed Direct Fulfill,Spring
V8XF0,,Cellular World Newbury Park DF,Old Cellular World,Cellular World,GLA,GREATER LOS ANGELES,Acquired,Acquired,West Texas,,No,,,,,,,,,,WEST,CA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2251,2251,Bakersfield,Closed,6,Recent Closed Direct Fulfill,Spring
HTWT7,,Cellular World Newport Malcolm Ave DF,Old Cellular World,Cellular World,AOK,ARKANSAS; OKLAHOMA,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,AR,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2219,2219,ARKANSAS/OKLAHOMA,Closed,6,Recent Closed Direct Fulfill,Spring
2HO7B,,Cellular World Newport RI DF,Old Cellular World,Cellular World,NEG,NEW ENGLAND,Acquired,Acquired,West Texas,,No,,,,,,,,,,NORTHEAST,RI,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2365,2365,SNET,Closed,6,Recent Closed Direct Fulfill,Spring
MOFE3,,Cellular World Newport Towne Center DF,Old Cellular World,Cellular World,TNK,TENNESSEE; KENTUCKY,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,TN,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2382,2382,Tennessee/Kentucky,Closed,6,Recent Closed Direct Fulfill,Spring
H23BG,,Cellular World Nipomo DF,Old Cellular World,Cellular World,GLA,GREATER LOS ANGELES,Acquired,Acquired,West Texas,,No,,,,,,,,,,WEST,CA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2483,2483,Bakersfield,Closed,6,Recent Closed Direct Fulfill,Spring
B5O2M,,Cellular World Nixa DF,Old Cellular World,Cellular World,GMW,GREATER MIDWEST,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,MO,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2331,2331,Greater Midwest,Closed,6,Recent Closed Direct Fulfill,Spring
GQ9TN,,Cellular World Norco DF,Old Cellular World,Cellular World,GLA,GREATER LOS ANGELES,Acquired,Acquired,West Texas,,No,,,,,,,,,,WEST,CA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2252,2252,Bakersfield,Closed,6,Recent Closed Direct Fulfill,Spring
FUC72,,Cellular World Norfolk Colley Ave DF,Old Cellular World,Cellular World,MID,MID-ATLANTIC,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,VA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2593,2593,Mid-Atlantic,Closed,6,Recent Closed Direct Fulfill,Spring
UD8KE,,Cellular World Norfolk Colley Ave RSW DF,Old Cellular World,Cellular World,MID,MID-ATLANTIC,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,VA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2593,2593,Mid-Atlantic,Closed,6,Recent Closed Direct Fulfill,Spring
2CKU4,,Cellular World Norfolk Monticello Ave DF,Old Cellular World,Cellular World,MID,MID-ATLANTIC,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,VA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2594,2594,Mid-Atlantic,Closed,6,Recent Closed Direct Fulfill,Spring
KXAQJ,,Cellular World Norfolk Monticello Ave RSW DF,Old Cellular World,Cellular World,MID,MID-ATLANTIC,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,VA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2594,2594,Mid-Atlantic,Closed,6,Recent Closed Direct Fulfill,Spring
8HEFH,,Cellular World North Augusta DF,Old Cellular World,Cellular World,GAC,GEORGIA; SOUTH CAROLINA,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,SC,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2367,0,Georgia/Carolinas,Closed,6,Recent Closed Direct Fulfill,Spring
2WZ3A,,Cellular World North Hollywood DF,Old Cellular World,Cellular World,GLA,GREATER LOS ANGELES,Acquired,Acquired,West Texas,,No,,,,,,,,,,WEST,CA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2253,2253,Bakersfield,Closed,6,Recent Closed Direct Fulfill,Spring
ZSTEY,,Cellular World North Park Mall RSW DF,Old Cellular World,Cellular World,GMW,GREATER MIDWEST,Acquired,Acquired,West Texas,,No,,,,,,,,,,CENTRAL,MO,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2536,2536,Greater Midwest,Closed,6,Recent Closed Direct Fulfill,Spring
5XYKM,,Cellular World North Pole DF,Old Cellular World,Cellular World,PNW,PACIFIC NW; AK; HI,Acquired,Acquired,West Texas,,No,,,,,,,,,,WEST,AK,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2203,2203,Northwest States,Closed,6,Recent Closed Direct Fulfill,Spring
LQEIN,,Cellular World Oak Habor DF,Old Cellular World,Cellular World,PNW,PACIFIC NW; AK; HI,Acquired,Acquired,West Texas,,No,,,,,,,,,,WEST,WA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2472,2472,Northwest States,Closed,6,Recent Closed Direct Fulfill,Spring
A3VDL,,Cellular World Oakland DF,Old Cellular World,Cellular World,TNK,TENNESSEE; KENTUCKY,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,TN,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2383,2383,Tennessee/Kentucky,Closed,6,Recent Closed Direct Fulfill,Spring
HSZ0S,,Cellular World Oakwood Center DF,Old Cellular World,Cellular World,GLF,GULF STATES,Acquired,Acquired,West Texas,,No,,,,,,,,,,SOUTHEAST,LA,201608 Old Cellular World,,8/1/2016,7/31/2016,Acquired,Acquired,Cellular World,2299,2299,Gulf States,Closed,6,Recent Closed Direct Fulfill,Spring
