Dealer Code,Loc #,Location,Retail IQ,District,ATT Mkt Abbrev,ATT Market Name,Region,Market,Dispute Mkt,DF,C&C,WS,WS Expires,Footprint Level,Business Expert,DF Code,Old,Old 2,ATT Location Name,ATT Location ID,ATT Region,State,Notes,Notes2,Open Date,Close Date,DC Origin,Store Origin,Acquisition Origin,TB Loc,SMF Mapping,SMF Market,DC status,Sorting Rank,Rank Description,Company
3AZQ6,2118,Homer Glen,2118 Homer Glen,Chicago Southwest,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,,,UUMGH,XWRSY,SPRING - HOMER GLEN,121586,CENTRAL,IL,201606 Midwest Cellular Acq,,6/1/2016,,Spring,Acquired,Midwest Cellular,2118,2118,Chicago,Active,3,Open Standard,Spring
QRBRO,2119,Joliet West Jefferson,2119 Joliet West Jefferson,Chicago Southwest,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,,,KGD0Q,XKHEM,SPRING - JOLIET,121602,CENTRAL,IL,201606 Midwest Cellular Acq,,6/1/2016,,Spring,Acquired,Midwest Cellular,2119,2119,Chicago,Active,3,Open Standard,Spring
FF2MZ,2124,Ottawa,2124 Ottawa,Chicago Southwest,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,,4MF6V,2UB0B,SPRING - OTTAWA,121583,CENTRAL,IL,201606 Midwest Cellular Acq,,6/1/2016,,Spring,Acquired,Midwest Cellular,2124,2124,Chicago,Active,3,Open Standard,Spring
JCJ7V,2132,Shorewood,2132 Shorewood,Chicago Southwest,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,,K45R2,ORHDM,SPRING - SHOREWOOD,121594,CENTRAL,IL,201606 Midwest Cellular Acq,,6/1/2016,,Spring,Acquired,Midwest Cellular,2132,2132,Chicago,Active,3,Open Standard,Spring
9N7QQ,2604,New Lenox,2604 New Lenox,Chicago Southwest,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Off,11/30/2016,1,Yes,,C3QLQ,,SPRING - NEW LENOX,122341,CENTRAL,IL,201608 Red Skye Acq,Acq WS,8/1/2016,,Spring,Acquired,Red Skye,2604,2604,Greater Midwest,Active,3,Open Standard,Spring
926NP,466,Orchard,466 Orchard,Chicago West,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,RVF2O,22MPH,,SPRING - AURORA,107017,CENTRAL,IL,201305 Clearchoice Acq,,5/1/2013,,Spring,Acquired,ClearChoice Mobility - Chicago,466,466,Chicago,Active,3,Open Standard,Spring
HN2K0,478,Batavia,478 Batavia,Chicago West,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Off,12/31/2015,1,Yes,3WA5C,,,SPRING - BATAVIA,116192,CENTRAL,IL,201412 Whitespace,,12/10/2014,,Spring,Whitespace,Whitespace,478,478,Chicago,Active,3,Open Standard,Spring
H9PX6,1411,Lombard,1411 Lombard,Chicago West,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Off,10/31/2016,1,,PPFX2,,,SPRING-GS-LOMBARD,117449,CENTRAL,IL,201510 RS Flip Whitespace,,10/21/2015,,Spring,Whitespace,Radio Shack Flip,1411,1411,Chicago,Active,3,Open Standard,Spring
KPXTK,2102,Bolingbrook,2102 Bolingbrook,Chicago West,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,,ENNJK,HW6XZ,SPRING - BOLINGBROOK,121580,CENTRAL,IL,201606 Midwest Cellular Acq,,6/1/2016,,Spring,Acquired,Midwest Cellular,2102,2102,Chicago,Active,3,Open Standard,Spring
P83VL,2113,Dekalb,2113 Dekalb,Chicago West,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,,ZWG06,IL7MT,SPRING - DEKALB,121592,CENTRAL,IL,201606 Midwest Cellular Acq,,6/1/2016,,Spring,Acquired,Midwest Cellular,2113,2113,Chicago,Active,3,Open Standard,Spring
