"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Spring Mobile Multi-Tracker","","","","","","","","","Store Charactaristics","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Formula Link","AT&T Region","AT&T Market","Spring Market","Region","District","Loc","Store Name","Street Address","City, State, Zip","Square Feet","Total Monthly Rent","Lease Expiration","October 2017 Total Ops","Average Last 12 Months Ops","Average Traffic Count Last 12 Months","June SMF","Dealer Code","Exterior Photo","Interior Photo","Build Type","Store Type","C&C Designation","Remodel or Open Date","Authorized Retailer Tag Line","Pylon/Monument Panels","Selling Walls","Memorable Accessory Wall","Cash Wrap Expansion","Window Wrap Grpahics","Live DTV","Learning Tables","Community Table","Diamond Displays","C Fixtures","TIO Kiosk","Approved for Flex Blade","Cap Index Score","Selling Walls Notes"
"","2369 Bolivar TN","EAST ","HEARTLAND STATES","Northeast","SCTNKY Region","West Tennessee","2369","Bolivar TN","704 W Market St Suite B","Bolivar, TN 38008","2250","","7/31/2022","143","106","2857","$4,410.21","9KTGL","https://www.dropbox.com/s/m0hkobrrpre18wq/2369%20Bolivar%20TN%20Outside.jpg?dl=0","https://www.dropbox.com/s/02vp71hejzo069e/2369%20Bolivar%20TN%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","5/31/2017","NO","","11","1","NO","","Pending","3","YES","0","0","NO","","",""
"","2373 Dyersburg","EAST ","HEARTLAND STATES","Northeast","SCTNKY Region","West Tennessee","2373","Dyersburg","2500 Lake Rd Suite 1","Dyersburg, TN 38024","1800","$3,150.00","7/31/19","124","141","2161","$5,751.43","O93F7","https://www.dropbox.com/s/9zf5rcsh8gnl8rv/2373%20Dyersburg%20Outside.jpg?dl=0","https://www.dropbox.com/s/4ez8ecb6zm4jhoj/2373%20Dyersburg%20Inside.jpg?dl=0","DES1","End Cap Strip","","","YES","0","10","0","NO","","Installed","3","YES","1","1","NO","","",""
"","2375 Jackson Highland Ave","EAST ","HEARTLAND STATES","Northeast","SCTNKY Region","West Tennessee","2375","Jackson Highland Ave","2158 S Highland Ave","Jackson, TN 38301","2800","$4,666.67","5/31/2020","198","197","2446","$7,106.83","5QC36","https://www.dropbox.com/s/olhps6k2gtw9qqa/2375%20Jackson%20Outside.jpg?dl=0","https://www.dropbox.com/s/3dugnvq1kmp9gph/2375%20Jackson%20Inside.jpg?dl=0","DES1","Inline Strip","","","YES","1","12","0","15 Panel","","Installed","3","YES","1","2","NO","","",""
"","2380 Lexington TN","EAST ","HEARTLAND STATES","Northeast","SCTNKY Region","West Tennessee","2380","Lexington TN","541 W Church St Suite F","Lexington, TN 38351","1160","$2,056.00","1/31/2019","156","217","2760","$10,137.50","5JYB5","https://www.dropbox.com/s/y7ypqzutk5reas4/2380%20Lexington%20Outside.png?dl=0","https://www.dropbox.com/s/zrl134dxdkpt5cn/2380%20Lexington%20Inside.png?dl=0","GEN","Inline Strip","","","YES","1","9","0","NO","","Pending","0","NO","0","0","NO","","",""
"","2385 Savannah","EAST ","HEARTLAND STATES","Northeast","SCTNKY Region","West Tennessee","2385","Savannah","1800 Wayne Rd","Savannah, TN 38372","2400","$3,599.27","5/31/2020","246","284","3676","$10,301.59","0U4MC","https://www.dropbox.com/s/2zldsh73j378211/2385%20Savannah%20outside.jpg?dl=0","https://www.dropbox.com/s/rpp4ywi8l3eteea/2385%20Savannah%20Inside.jpg?dl=0","DES1","Inline Strip","","","YES","1","12","0","15 Panel","","Installed","3","YES","1","2","NO","","",""
"","2386 Selmer","EAST ","HEARTLAND STATES","Northeast","SCTNKY Region","West Tennessee","2386","Selmer","916 Mulberry Ave","Selmer, TN 38375","2400","$2,240.00","12/31/2019","237","223","3243","$6,289.49","BI5VR","https://www.dropbox.com/s/qbsgrn15qs1t1ql/2386%20Selmer%20Outside.jpg?dl=0","https://www.dropbox.com/s/4ceg3x03c637mer/2386%20Selmer%20Inside.jpg?dl=0","DES1","Inline Strip","","","YES","0","12","0","15 Panel","","Installed","3","YES","1","2","NO","","",""
"","2387 Union City","EAST ","HEARTLAND STATES","Northeast","SCTNKY Region","West Tennessee","2387","Union City","1401 W Reelfoot Ave Suite 201","Union City, TN 38261","2000","$2,766.00","8/31/2018","159","137","1776","$5,721.58","XMMCE","https://www.dropbox.com/s/fwox19v6isenzz1/2387%20Union%20City.png?dl=0","https://www.dropbox.com/s/qj7cp1xo5r6yjv0/2387%20Union%20City%20inside.png?dl=0","DES1","Inline Strip","","","YES","0","10","0","NO","","Pending","3","YES","1","0","NO","","",""
"","2513 Paris Mineral Wells","EAST ","HEARTLAND STATES","Northeast","SCTNKY Region","West Tennessee","2513","Paris Mineral Wells","1275 Mineral Wells Ave","Paris, TN 38242","2000","$5,333.33","12/9/2023","147","121","1716","$4,021.18","G52L2","https://www.dropbox.com/s/rs32koa9q64rssa/2513%20Paris%20Mineral%20Wells%20Outside.jpg?dl=0","https://www.dropbox.com/s/0immzsxkn7lb1lp/2513%20Paris%20Mineral%20Wells%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","11/2/2016","YES","0","6","1","NO","","Pending","0","NO","0","0","NO","","55",""
"","2207 Arkadelphia","CENTRAL","MID STATES","South","AOK Region","Central Arkansas","2207","Arkadelphia","3032 Pine St","Arkadelphia, AR 71923","2048","$4,200.00","1/7/26","114","136","2289","$8,243.48","RAK4O","","https://drive.google.com/a/springmobile.com/file/d/0B1BB9ZJEV8uSY1pWd2JtSWNIUjA/view?usp=sharing","DES1","Stand Alone","","","YES","2","9","0","NO","","Pending","1","YES","0","0","NO","","",""
"","2212 Bryant","CENTRAL","MID STATES","South","AOK Region","Central Arkansas","2212","Bryant","307 Bryant Ave Suite 1","Bryant, AR 72022","3000","$5,125.00","4/30/2020","103","118","2254","$1,289.31","3FFJC","https://drive.google.com/a/springmobile.com/file/d/0B1f7QmB2ytjcZlhJdFFNaW1EaUU/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B1f7QmB2ytjcYXl0MklKS1JkSkE/view?usp=sharing","DES1","End Cap Strip","","","YES","2","14","0","15 Panel","","Installed","0","YES","1","0","NO","","",""
"","2213 Dumas","CENTRAL","MID STATES","South","AOK Region","Central Arkansas","2213","Dumas","356 S Hwy 65","Dumas, AR 71639","1296","$425.00","9/30/18","84","105","2390","$14,334.56","6VDIN","https://drive.google.com/a/springmobile.com/file/d/0B1kGbFe14dUEem5PbDFXd0RaVkE/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B1kGbFe14dUEZmlsa2FkRWxwOGc/view?usp=sharing","GEN","Inline Strip","","","YES","0","5","0","NO","","Installed","0","NO","0","1","NO","","",""
"","2216 Heber Springs","CENTRAL","MID STATES","South","AOK Region","Central Arkansas","2216","Heber Springs","1141 Hwy 25B N","Heber Springs, AR 72543","2000","$3,166.67","9/30/2025","262","213","3088","$9,705.14","T2CZT","https://drive.google.com/open?id=0B1WRwDtefxEOX1dxN1g5SlJ3MGs","https://drive.google.com/open?id=0B1WRwDtefxEOODVaYlBZOEp4bGM","DES1","Stand Alone","","","YES","0","7","0","NO","","Installed","0","YES","0","1","NO","","",""
"","2217 Hot Springs","CENTRAL","MID STATES","South","AOK Region","Central Arkansas","2217","Hot Springs","100 Airport Rd","Hot Springs, AR 71913","2800","$4,829.75","12/27/2021","125","143","2834","$8,413.20","TOGXW","https://www.dropbox.com/s/8fxfok0g7nxvlcr/2217%20Hot%20Springs%20outside.jpg?dl=0","https://www.dropbox.com/s/vio90mk5gucfcv8/2217%20Hot%20Spring%20Inside.jpg?dl=0","DES1","Stand Alone","","","YES","0","7","0","15 Panel","","Installed","0","YES","0","1","NO","","",""
"","2221 Pine Bluff","CENTRAL","MID STATES","South","AOK Region","Central Arkansas","2221","Pine Bluff","5500 S Olive Suite A","Pine Bluff, AR 71603","2400","$5,780.00","9/25/2022","125","136","2844","$13,310.09","PT40R","https://drive.google.com/a/springmobile.com/file/d/0B6XZcB9jSbWIUUp3YkNLZzViWHc/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B6XZcB9jSbWISDdhSU9xNVI3N0k/view?usp=sharing","DES1","Inline Strip","Complete","7/20/2017","NO","","","","NO","","Installed","0","","0","0","NO","","",""
"","2224 Searcy","CENTRAL","MID STATES","South","AOK Region","Central Arkansas","2224","Searcy","306 E Beebe Capps Expressway","Searcy, AR 72143","1750","$3,029.00","8/31/18","79","110","1877","$7,658.36","ECEV9","https://www.dropbox.com/s/1lgqyb96g7zyf23/2224%20Searcy%20Outside.JPG?dl=0","https://www.dropbox.com/s/jz6k8qhyofrxqkf/2224%20Searcy%20inside.JPG?dl=0","DES1","End Cap Strip","","","YES","0","12","0","NO","","Denied","0","NO","0","0","NO","","",""
"","2480 Benton Military Rd","CENTRAL","MID STATES","South","AOK Region","Central Arkansas","2480","Benton Military Rd","1201 Military Rd","Benton, AR 72015","1800","$3,454.50","12/29/2020","107","122","2172","$7,691.79","CZPAY","https://drive.google.com/a/springmobile.com/file/d/0B1f7QmB2ytjcdmE3aUl0a21MOW8/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B1f7QmB2ytjcbXRpUHAyLUoydWs/view?usp=sharing","DES1","End Cap Strip","","","YES","0","10","0","NO","","Installed","0","YES","0","0","NO","","",""
"","2515 Texarkana","CENTRAL","MID STATES","South","AOK Region","Central Arkansas","2515","Texarkana","4901 N Stateline","Texarkana, TX 75501","2400","$7,050.00","3/31/2024","123","96","1117","$6,593.19","ATLNF","https://drive.google.com/a/springmobile.com/file/d/0Bxc7acFkyoxZX2FMdjdSZkVobjg/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0Bxc7acFkyoxZMGlLeEU2QTUyZFU/view?usp=sharing","DES1","Stand Alone","Complete","3/13/2017","NO","","11","1","NO","","Installed","4","YES","0","0","NO","","216",""
"","2360 Checotah","CENTRAL","MID STATES","South","AOK Region","Central OK","2360","Checotah","111 NW 9th St","Checotah, OK 74426","2500","$1,250.00","11/30/2018","111","113","2300","$7,074.53","SD7UU","https://drive.google.com/a/springmobile.com/file/d/0B0ZcZGTwg_PpcF9HaVZVQWFtSU0/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B0ZcZGTwg_PpXy1yVTBVQXlvaEU/view?usp=sharing","","Stand Alone","","","YES","0","","0","NO","","Pending","0","","0","0","NO","","",""
"","2362 Okmulgee","CENTRAL","MID STATES","South","AOK Region","Central OK","2362","Okmulgee","1225 S Wood St Suite C","Okmulgee, OK 74447","2400","$7,200.00","11/30/2024","201","210","3230","$14,789.13","24ECQ","","","DES1","End Cap Strip","Complete","11/22/2017","NO","","11","1","NO","","Pending","5","YES","0","0","NO","","124",""
"","2548 Alva","CENTRAL","MID STATES","South","AOK Region","Central OK","2548","Alva","607 Barnes St","Alva, OK 73717","576","$400.00","6/30/2018","57","70","1222","$18,378.19","U95AS","","","GEN","Inline Strip","","","YES","0","5","0","NO","","Installed","0","NO","0","1","NO","","",""
"","2554 Guthrie","CENTRAL","MID STATES","South","AOK Region","Central OK","2554","Guthrie","1624 S Division","Guthrie, OK 73044","1525","$2,664.69","8/31/2019","57","92","1652","$14,101.06","X2QBJ","https://www.dropbox.com/s/btkqaon07yit3vn/2554%20Guthire%20Outside.jpg?dl=0","https://www.dropbox.com/s/ad8wtoisy480fj0/2554%20Guthrie%20Inside.jpg?dl=0","","Inline Strip","","","YES","2","","0","NO","","Installed","0","","0","0","NO","","",""
"","2558 Mustang","CENTRAL","MID STATES","South","AOK Region","Central OK","2558","Mustang","1001 E Hwy 152","Mustang, OK 73064","2400","$4,290.17","12/31/2019","123","149","1930","$15,760.52","FTKW2","https://drive.google.com/a/springmobile.com/file/d/0B56jo1K9JDlPOFFQN2pKMVIzOVE/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B56jo1K9JDlPYTNac1V6TzliQlE/view?usp=sharing","DES1","Inline Strip","","","YES","0","12","0","NO","","Denied","2","YES","1","2","NO","","",""
"","2560 Ponca City","CENTRAL","MID STATES","South","AOK Region","Central OK","2560","Ponca City","2705 N 14th St","Ponca City, OK 74601","3000","$3,539.09","5/31/2022","379","457","5994","$22,580.52","CHM2Y","https://drive.google.com/a/springmobile.com/file/d/0B0oGN4gk8-x8bzNEQ1haa0hFa3M/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B0oGN4gk8-x8SmxEaDE5MWJTaXM/view?usp=sharing","DES1","End Cap Strip","","","YES","2","12","0","NO","","Installed","6","YES","1","2","NO","","",""
"","2562 Sand Springs","CENTRAL","MID STATES","South","AOK Region","Central OK","2562","Sand Springs","117 N Wilson Ave Suite 200","Sand Springs, OK 74063","2488","$4,716.61","1/31/2020","139","166","2060","$9,830.15","JU9TZ","https://www.dropbox.com/s/74drb74x66f7rms/2562%20Sand%20Springs%20Outside.jpg?dl=0","https://www.dropbox.com/s/mito0je34mcc3xv/2562%20Sand%20Springs%20Inside.jpg?dl=0","DES1","End Cap Strip","","","YES","2","12","0","NO","","Installed","2","YES","1","2","NO","","",""
"","2563 Sapulpa","CENTRAL","MID STATES","South","AOK Region","Central OK","2563","Sapulpa","618 S Main St","Sapulpa, OK 74066","2520","$5,600.00","6/30/2024","211","178","1578","$14,888.28","EJ8AS","https://www.dropbox.com/s/cyd69awoorf4ofm/2563%20Sapulpa%20Outside.JPG?dl=0","","DES1","Stand Alone","Complete","6/28/2017","NO","","11","1","NO","","Installed","6","YES","0","0","NO","","",""
"","2564 Stillwater Koby Plaza","CENTRAL","MID STATES","South","AOK Region","Central OK","2564","Stillwater Koby Plaza","3940 W 6th Ave","Stillwater, OK 74074","3000","$3,125.00","3/31/2019","139","134","1750","$15,574.65","8ERBR","https://drive.google.com/a/springmobile.com/file/d/0B7deivSUNCDPbmNoakl1SzNJeUU/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B7deivSUNCDPbkhLODN6SHhnXzQ/view?usp=sharing","GEN","Inline Strip","","","YES","2","13","0","NO","","Installed","0","NO","0","2","NO","","",""
"","2568 Moore","CENTRAL","MID STATES","South","AOK Region","Central OK","2568","Moore","761 SW 19th St Suite 101","Moore, OK 73160","2352","$6,348.44","3/28/2026","142","135","1621","$1,308.56","DR5N4","https://www.dropbox.com/s/4yzcuwnk6gprbot/2568%20Moore%20Outside.jpg?dl=0","https://www.dropbox.com/s/bllbf6aniqwu34y/2568%20Moore%20Inside.jpg?dl=0","DES1","End Cap Strip","","","YES","2","11","0","NO","","Installed","4","YES","1","2","NO","","",""
"","2210 Blytheville","CENTRAL","MID STATES","South","AOK Region","NE Arkansas","2210","Blytheville","1301 E Main St Suite A","Blytheville, AR 72315","1850","$3,079.18","1/31/18","211","234","3041","$11,895.56","RUZAW","https://www.dropbox.com/s/xmpzto0bps8rm3m/2210%20Blytheville%20Outside.jpg?dl=0","https://www.dropbox.com/s/x78o2ga9nlckfhi/2210%20Blytheville%20Inside.jpg?dl=0","DES1","Stand Alone","","","YES","2","12","0","NO","","Installed","2","YES","1","1","NO","","",""
"","2211 Brinkley","CENTRAL","MID STATES","South","AOK Region","NE Arkansas","2211","Brinkley","1404 Pinecrest Shopping Center Suite 9","Brinkley, AR 72021","1015","$492.76","1/31/2021","47","96","1631","$8,998.28","QF05U","https://www.dropbox.com/s/d1rojka2q6jsu6x/2211%20Brinkley%20Outside.jpg?dl=0","https://www.dropbox.com/s/nv5xduaus2yddgh/2211%20Brinkley.jpg?dl=0","","Inline Strip","","","NO","0","Slat Wall","0","NO","","Pending","0","NO","0","0","NO","","",""
"","2215 Harrison AR","CENTRAL","MID STATES","South","AOK Region","NE Arkansas","2215","Harrison AR","1313 Hwy 65 N Suite H2","Harrison, AR 72601","2065","$3,226.57","7/31/2021","142","175","2520","$15,141.85","ZD9V0","https://www.dropbox.com/s/d22qcy11q2tt3m9/2215%20Harrison%20AR%20Outside.jpg?dl=0","https://www.dropbox.com/s/035dl2xiiw02a9q/2215%20Harrison%20AR%20Inside.jpg?dl=0","DES1","Inline Strip","","","YES","2","13","0","NO","","Installed","2","YES","0","0","NO","","",""
"","2218 Mt Home","CENTRAL","MID STATES","South","AOK Region","NE Arkansas","2218","Mt Home","2995 Hwy 62 E Suite 1","Mountain Home, AR 72653","2500","$4,333.33","5/31/2020","256","269","3285","$10,784.07","JGION","https://www.dropbox.com/s/91mtkpc2wiwo4fz/2218%20Mt%20Home%20Outside.jpg?dl=0","https://www.dropbox.com/s/lqjdfm3jy7wkyme/2218%20Mt%20Home%20Inside.jpg?dl=0","DES1","End Cap Strip","","","YES","0","12","0","15 Panel","","Installed","4","YES","1","1","NO","","",""
"","2219 Newport Malcolm Ave","CENTRAL","MID STATES","South","AOK Region","NE Arkansas","2219","Newport Malcolm Ave","1409 C Malcolm Ave","Newport, AR 72112","2000","$2,500.00","3/31/2017","90","94","2036","$12,423.84","5XW4W","https://www.dropbox.com/s/ayk1465f9hl5hy2/2219%20Newport%20Malcolm%20Outside.jpg?dl=0","https://www.dropbox.com/s/lv1chv6o9fm8mqs/2219%20Newport%20Malcolm%20Inside.jpg?dl=0","","Inline Strip","","","YES","2","Slat Wall","0","NO","","Installed","0","NO","0","0","NO","","",""
"","2220 Paragould","CENTRAL","MID STATES","South","AOK Region","NE Arkansas","2220","Paragould","2708 W Kings Hwy Suite B","Paragould, AR 72450","2000","$3,403.87","2/28/18","371","344","4312","$10,929.03","BLUFC","https://www.dropbox.com/s/0qiozu8c2xcbeti/2220%20Paragould%20Outside.jpg?dl=0","https://www.dropbox.com/s/m6vg54a5glt6bay/2220%20Paragould%20Inside.jpg?dl=0","DES2","End Cap Strip","","","YES","0","12","0","NO","","Installed","0","NO","1","0","NO","","",""
"","2222 Pocahontas","CENTRAL","MID STATES","South","AOK Region","NE Arkansas","2222","Pocahontas","1103 Hwy 62 W","Pocahontas, AR 72455","1382","$1,650.00","6/30/2018","59","68","1513","$11,508.95","ECXCX","https://www.dropbox.com/s/saz04gsjlm5r7w8/2222%20Pocahontas%20Outside.jpg?dl=0","https://www.dropbox.com/s/v075l8ipkx1tez1/2222%20Pocahontas%20Inside.jpg?dl=0","ARS","End Cap Strip","","","YES","0","6","0","NO","","Installed","0","NO","0","0","NO","","",""
"","2225 West Helena","CENTRAL","MID STATES","South","AOK Region","NE Arkansas","2225","West Helena","426 N Sebastian","West Helena, AR 72390","3000","$6,050.00","3/31/24","99","158","3096","$14,836.07","VORCA","https://www.dropbox.com/s/m63dom6lw4r57q2/2225%20West%20Helena%20Outside.jpg?dl=0","https://www.dropbox.com/s/g3jjq07fyt8a2kc/2225%20West%20Helena%20Inside.jpg?dl=0","DES1","Stand Alone","Complete","2/1/2017","NO","2","4","1","NO","","Installed","4","YES","0","0","YES","","",""
"","2359 Bixby","CENTRAL","MID STATES","South","AOK Region","North OK","2359","Bixby","15035 S Memorial Dr","Bixby, OK 74008","2400","$8,200.00","7/31/23","146","172","1939","$1,639.53","C55IT","https://www.dropbox.com/s/zbwt0u1yzo81tt7/2359%20Bixby%20Outside.JPG?dl=0","https://www.dropbox.com/s/q8wmnnirqp13105/2359%20Bixby%20Inside.JPG?dl=0","DES1","Stand Alone","","","YES","2","12","0","NO","","Denied","3","YES","1","0","NO","","",""
"","2361 Miami","CENTRAL","MID STATES","South","AOK Region","North OK","2361","Miami","845 N Main St","Miami, OK 74354","2000","$4,500.00","7/31/2023","138","175","3083","$14,144.79","U28R7","https://drive.google.com/a/springmobile.com/file/d/0B9AJKJleLksfazZGNURxUllPR2c/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B9AJKJleLksfazZGNURxUllPR2c/view?usp=sharing","DES2","Stand Alone","","","YES","4","9","0","NO","","Installed","0","NO","1","2","NO","","",""
"","2363 Pryor","CENTRAL","MID STATES","South","AOK Region","North OK","2363","Pryor","11 S Mill Ave","Pryor, OK 74361","1600","$1,066.41","11/30/2032","210","249","3510","$15,314.12","GCCU9","https://www.dropbox.com/s/qvc0mx1twuoci0y/2363%20Pryor%20Outside.JPG?dl=0","https://www.dropbox.com/s/zor2d073kp0m6mo/2363%20Pryor%20Inside.JPG?dl=0","GEN","End Cap Strip","","","YES","2","9","0","NO","","Installed","0","NO","1","2","NO","","",""
"","2491 Tulsa Riverside","CENTRAL","MID STATES","South","AOK Region","North OK","2491","Tulsa Riverside","9545 Riverside Pkwy","Tulsa, OK 74137","2800","$10,000.00","6/30/2024","198","132","1440","$10,474.03","PXRZO","https://www.dropbox.com/s/ru58qtrqq7ockgp/2491%20Tulsa%20Riverside%20Outside.jpg?dl=0","https://www.dropbox.com/s/yz4ltxef3fqlo99/2491%20Tulsa%20Riverside%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","6/28/2017","NO","","11","1","NO","","Installed","6","YES","0","0","NO","","",""
"","2551 Coweta","CENTRAL","MID STATES","South","AOK Region","North OK","2551","Coweta","11319 S Hwy 51 Suite 500","Coweta, OK 74429","1200","$1,579.10","4/30/2018","86","74","1108","$8,015.79","BPHSF","https://www.dropbox.com/s/9stslhop4ritilr/2551%20Coweta%20Outside.JPG?dl=0","https://www.dropbox.com/s/wj9yhzixofgqnua/2551%20Coweta%20Inside.JPG?dl=0","GEN","Inline Strip","","","YES","2","6","0","NO","","Installed","0","NO","0","1","NO","","",""
"","2553 Grove","CENTRAL","MID STATES","South","AOK Region","North OK","2553","Grove","12 E 11th St","Grove, OK 74344","2520","$6,000.00","6/30/24","168","165","1719","$10,249.81","ONB9B","https://www.dropbox.com/s/wzxludkfqh4uw2y/2553%20Grove%20Outside.jpg?dl=0","https://www.dropbox.com/s/tm41v2sx28xj4fl/2553%20Grove%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","6/28/2017","NO","","11","1","NO","","Installed","6","YES","0","0","NO","","",""
"","2557 Muskogee Arrowhead Mall","CENTRAL","MID STATES","South","AOK Region","North OK","2557","Muskogee Arrowhead Mall","819 W Shawnee Bypass","Muskogee, OK 74401","3000","$6,514.58","4/30/2025","182","198","2794","$16,688.38","RFAVO","https://www.dropbox.com/s/3ecj51gl53rsoy8/2557%20Muskogee%20Arrowhead%20Mall%20Outside.jpg?dl=0","https://www.dropbox.com/s/dl2ddufaki885ts/2557%20Muskogee%20Arrowhead%20Mall%20Inside.jpg?dl=0","GEN","End Cap Strip","Complete","8/26/2016","YES","0","12","0","NO","","Pending","6","YES","0","2","NO","","171",""
"","2565 Tulsa 31st Street","CENTRAL","MID STATES","South","AOK Region","North OK","2565","Tulsa 31st Street","11169 E 31st St","Tulsa, OK 74129","2870","$3,025.12","10/31/2020","125","115","3237","$11,120.97","MC47R","https://www.dropbox.com/s/ktwjvpag1vn209r/2565%20Tulsa%2031st%20Outside.JPG?dl=0","https://www.dropbox.com/s/s5d1sj390blvacg/2565%20Tulsa%2031st%20Inside.JPG?dl=0","DES2","Inline Strip","","","YES","4","","0","NO","","Installed","0","NO","1","1","YES","","",""
"","2566 Woodland Hills Mall","CENTRAL","MID STATES","South","AOK Region","North OK","2566","Woodland Hills Mall","7021 S Memorial Dr Suite 276","Tulsa, OK 74133","1111","$9,731.79","10/31/2018","100","81","2621","$18,962.56","973Y4","https://www.dropbox.com/s/lpdqph2yj2uss8u/2566%20Woodland%20Hills%20Mall.JPG?dl=0","https://www.dropbox.com/s/948kvabehyiit8u/2566%20Woodland%20Hills%20Mall%20Inside.JPG?dl=0","GEN","Mall","","","YES","0","9","0","NO","","Denied","0","NO","0","1","NO","","",""
"","2567 Tulsa Yale Mall","CENTRAL","MID STATES","South","AOK Region","North OK","2567","Tulsa Yale Mall","1625 S Yale Ave Suite A01","Tulsa, OK 74112","3043","$7,140.27","9/30/19","229","172","2713","$16,589.60","XEIMX","https://www.dropbox.com/s/sx4ylrwh2f245m6/2567%20Tulsa%20Yale%20Mall%20Outside.JPG?dl=0","https://www.dropbox.com/s/23r2mu5xqldtdos/2567%20Tulsa%20Yale%20Mall%20Inside.JPG?dl=0","DES1","End Cap Strip","","","YES","2","12","0","NO","","Pending","3","YES","1","1","NO","","",""
"","2208 Bentonville West Central","CENTRAL","MID STATES","South","AOK Region","NW Arkansas","2208","Bentonville West Central","813 W Central Ave Suite 12","Bentonville, AR 72712","1174","$1,831.20","8/31/19","60","80","1176","$13,257.54","0D52P","https://www.dropbox.com/s/l69ll1ermptanpb/2208%20Bentonville%20West%20%281%29.jpg?dl=0","https://www.dropbox.com/s/1mxy1o7gd9p6xu4/2208%20Bentonville%20West%20Inside.jpg?dl=0","ARS","End Cap Strip","","","YES","0","8","0","NO","","Denied","0","NO","0","1","NO","","",""
"","2209 Bentonville South Walton Blvd","CENTRAL","MID STATES","South","AOK Region","NW Arkansas","2209","Bentonville South Walton Blvd","2510 S Walton Blvd","Bentonville, AR 72712","2709","$5,711.61","7/31/20","273","329","3011","$4,249.17","JB85Z","https://www.dropbox.com/s/nrj9gozl60o9moj/2209%20Bentonville%20South.JPG?dl=0","https://www.dropbox.com/s/a5g81om7wbyo149/2209%20Bentonville%20South%20Inside.JPG?dl=0","DES1","Stand Alone","","","YES","0","13","0","NO","","Installed","3","YES","1","1","NO","","",""
"","2223 Rogers","CENTRAL","MID STATES","South","AOK Region","NW Arkansas","2223","Rogers","224 S 8th St","Rogers, AR 72756","1000","$800.00","10/31/2018","13","56","1346","$7,142.08","BMWR4","https://www.dropbox.com/s/mkj6nzt5ni0ndss/2223%20Rogers%20inside.jpg?dl=0","https://www.dropbox.com/s/utmmm57aoxs685f/2223%20Rogers%20outside.jpg?dl=0","ARS","Stand Alone","","","YES","2","10","0","NO","","Denied","0","NO","0","0","NO","","",""
"","2364 Wedington","CENTRAL","MID STATES","South","AOK Region","NW Arkansas","2364","Wedington","3575 W Wedington Suite 1","Fayetteville, AR 72701","2700","$7,425.00","3/31/21","49","75","1073","$400.16","SXPZZ","https://www.dropbox.com/s/pnglmnlnz9zwbmf/2364%20Wedington%20Outside.JPG?dl=0","https://www.dropbox.com/s/6pahb987oxmiceb/2364%20Wedington%20Inside.JPG?dl=0","DES1","End Cap Strip","","","YES","2","12","0","NO","","Installed","3","YES","1","1","NO","","",""
"","2481 Berryville","CENTRAL","MID STATES","South","AOK Region","NW Arkansas","2481","Berryville","926 W Trimble St","Berryville, AR 72616","2200","$3,070.00","6/30/2024","113","68","1037","$9,940.02","TFOET","https://www.dropbox.com/s/o5576er6ig8ciup/2481%20Berryville%20Outside.JPG?dl=0","https://www.dropbox.com/s/amghft409zc44eu/2481%20Berryville%20Inside.JPG?dl=0","","Stand Alone","Complete","6/15/2017","NO","","","1","NO","","Pending","","","","","NO","","",""
"","2482 Springdale","CENTRAL","MID STATES","South","AOK Region","NW Arkansas","2482","Springdale","1100 South Thompson St","Springdale, AR 72764","1841","$6,133.00","7/31/2023","285","268","3842","$7,825.06","P5E8V","https://www.dropbox.com/s/39c2hbod7e2kl72/2482%20Springdale%20Outside.JPG?dl=0","https://www.dropbox.com/s/ytazw3oyre3wsgi/2482%20Springdale%20insdie.JPG?dl=0","DES1","Stand Alone","","","YES","2","12","0","NO","","Installed","3","YES","0","0","YES","","",""
"","2518 Bella Vista","CENTRAL","MID STATES","South","AOK Region","NW Arkansas","2518","Bella Vista","3463 N Bella Vista Way #B","Bella Vista, AR 72714","2847","$5,399.81","6/30/2018","98","139","1801","$13,004.47","4RXMK","https://www.dropbox.com/s/p4myttdwznue1vm/2518%20Bella%20Vista.jpg?dl=0","https://www.dropbox.com/s/q6bz6cihsq2iprs/2518%20Bella%20Vista%20inside.jpg?dl=0","DES2","End Cap Strip","","","YES","0","12","0","NO","","Pending","0","NO","1","1","NO","","",""
