"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Spring Mobile Multi-Tracker","","","","","","","","","Store Charactaristics","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Formula Link","AT&T Region","AT&T Market","Spring Market","Region","District","Loc","Store Name","Street Address","City, State, Zip","Square Feet","Total Monthly Rent","Lease Expiration","October 2017 Total Ops","Average Last 12 Months Ops","Average Traffic Count Last 12 Months","June SMF","Dealer Code","Exterior Photo","Interior Photo","Build Type","Store Type","C&C Designation","Remodel or Open Date","Authorized Retailer Tag Line","Pylon/Monument Panels","Selling Walls","Memorable Accessory Wall","Cash Wrap Expansion","Window Wrap Grpahics","Live DTV","Learning Tables","Community Table","Diamond Displays","C Fixtures","TIO Kiosk","Approved for Flex Blade","Cap Index Score","Selling Walls Notes"
"","1436 Mundelein","CENTRAL","GREATER LAKES","Central","Chicago","Chicago North","1436","Mundelein","3034 W IL Route 60","Mundelein, IL 60060","2500","$8,823.35","4/30/21","207","210","1951","$1,035.06","84DXE","https://www.dropbox.com/s/uj451frwd998e0g/1436%20Mundelein%20Outside.jpg?dl=0","https://www.dropbox.com/s/ngd1f3y2kfew4i8/1436%20Mundelein%20Inside.jpg?dl=0","DES2","End Cap Strip","Complete","5/3/2016","YES","2","10","0","NO","","Installed","0","YES","1","1","NO","","49",""
"","465 26th Street","CENTRAL","GREATER LAKES","Central","Chicago","Chicago South","465","26th Street","3735 W 26th St","Chicago, IL 60623","2500","$3,958.33","7/31/18","187","153","3296","$14,895.14","VR02Y","https://www.dropbox.com/s/n8zj0nzolzg3x9a/465%2026th%20Street.jpg?dl=0","https://www.dropbox.com/s/6ilk1n5c7sx4o3g/465%2026th%20Street%20Inside.jpg?dl=0","DES1","End Cap Strip","Remodel","","YES","4","10","0","NO","","Installed","0","NO","1","1","YES","","",""
"","1408 Chicago Brickyard","CENTRAL","GREATER LAKES","Central","Chicago","Chicago South","1408","Chicago Brickyard","6451 W Diversey Ave Unit G11","Chicago, IL 60707","1990","$9,695.59","11/30/20","125","112","1906","$1,607.34","7B5J0","https://www.dropbox.com/s/m3k0z9ra23zm02o/1408%20Brickyard%20Outside.jpg?dl=0","https://www.dropbox.com/s/53t4725liask00t/1408%20Brickyard%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","10/14/2015","YES","0","11","0","NO","Installed","Installed","3","YES","1","1","NO","","613",""
"","1410 Chicago N Broadway","CENTRAL","GREATER LAKES","Central","Chicago","Chicago South","1410","Chicago N Broadway","3168 N Broadway","Chicago, IL 60657","1960","$6,650.79","3/31/20","76","94","1203","$536.37","UTJY0","https://www.dropbox.com/s/llfnazuh7y2zj7y/1410%20Broadway%20Outside.jpg?dl=0","https://www.dropbox.com/s/3zb2tg524wlnwa5/1410%20Broadway%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","9/16/2015","YES","0","15","0","NO","","Installed","3","YES","0","1","NO","","538",""
"","1412 Melrose North Ave","CENTRAL","GREATER LAKES","Central","Chicago","Chicago South","1412","Melrose North Ave","1505 W N Ave","Melrose Park, IL 60160","2069","$7,056.01","3/31/20","121","106","1605","$1,683.10","T0EEE","https://www.dropbox.com/s/04koxwggdcbcinz/1412%20Melrose%20North%20Ave.jpg?dl=0","https://www.dropbox.com/s/d8k31z2ccaqlqit/1412%20Melrose%20North%20Ave%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","7/15/2015","YES","2","13","0","15 Panel","","Installed","4","YES","0","0","NO","","",""
"","2104 Broadview","CENTRAL","GREATER LAKES","Central","Chicago","Chicago South","2104","Broadview","2812 S 17th Ave Unit D","Broadview, IL 60155","2000","$6,030.50","10/31/20","54","62","1512","$19,977.64","T8RSX","","https://drive.google.com/a/springmobile.com/file/d/0BxpC6nHWsPlbV0o5WXdIOENYRUk/view?usp=sharing","DES1","End Cap Strip","Complete","","YES","2","12","0","NO","","Pending","4","YES","0","1","NO","YES","",""
"","2117 Hodgkins","CENTRAL","GREATER LAKES","Central","Chicago","Chicago South","2117","Hodgkins","9430 Joliet Rd Unit 300","Hodgkins, IL 60525","2500","$9,337.27","8/31/18","148","134","1873","$11,515.18","EMW4B","https://www.dropbox.com/s/md5xf6ljicyx029/2117%20Hodgkins%20Outside.png?dl=0","","GEN","Inline Strip","Complete","","YES","0","7","0","NO","","Installed","0","NO","1","1","NO","NO","",""
"","2123 North Riverside Mall","CENTRAL","GREATER LAKES","Central","Chicago","Chicago South","2123","North Riverside Mall","7501 Cermak Rd Suite G14","North Riverside, IL 60546","2427","$7,994.23","6/30/2024","112","128","3829","$14,770.33","GA4Y7","https://www.dropbox.com/s/2ih19jlaysbuy41/2123%20North%20Riverside%20Mall%20Outside.jpg?dl=0","https://www.dropbox.com/s/t3vgl9utj3q1grl/2123%20North%20Riverside%20Mall%20Inside.jpg?dl=0","DES1","Mall","Complete","6/29/2017","NO","","11","1","NO","","Installed","3","YES","0","0","NO","NO","",""
"","2127 Riverside IL","CENTRAL","GREATER LAKES","Central","Chicago","Chicago South","2127","Riverside IL","2518 S Harlem Rd Unit 5D","North Riverside, IL 60546","1822","$7,999.28","11/30/19","201","204","3198","$21,142.53","U0GUJ","https://www.dropbox.com/s/z3dc7xnqbs0w65v/2127%20Riverside%20IL%20Outside.png?dl=0","","GEN","End Cap Strip","Complete","","YES","0","12","0","NO","","Installed","3","YES","1","0","NO","YES","",""
"","2135 Summit","CENTRAL","GREATER LAKES","Central","Chicago","Chicago South","2135","Summit","7200 W Archer Ave","Summit, IL 60501","3000","$5,250.00","8/31/21","173","151","1708","$20,232.33","U8PYS","https://www.dropbox.com/s/xgkefrbbf2vtb2c/2135%20Summit%20Outside.png?dl=0","https://www.dropbox.com/s/bzlpnorztcbp6h6/2135%20Summit%20Inside.jpg?dl=0","DES1","Stand Alone","Complete","11/19/2016","YES","0","10","1","NO","","Installed","3","YES","0","0","NO","NO","",""
